Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.10352000e-06,-1.00031250e+01,7.94296875e+02,-2.89062500e-01,8.98437500e-01,,-2.10352000e-06,-1.05622101e-04
-2.10192000e-06,-1.00984375e+01,7.93906250e+02,-7.89062500e-01,1.16406250e+00,,-2.10192000e-06,-1.06306936e-04
-2.10032000e-06,-1.00750000e+01,7.92968750e+02,-6.64062500e-01,1.14062500e+00,,-2.10032000e-06,-1.07229353e-04
-2.09872000e-06,-1.00953125e+01,7.96171875e+02,-7.81250000e-01,1.07031250e+00,,-2.09872000e-06,-1.08148226e-04
-2.09712000e-06,-1.00890625e+01,7.92343750e+02,-9.21875000e-01,1.50000000e+00,,-2.09712000e-06,-1.09230190e-04
-2.09552000e-06,-1.00218750e+01,7.89531250e+02,-3.20312500e-01,1.41406250e+00,,-2.09552000e-06,-1.10016859e-04
-2.09392000e-06,-1.00953125e+01,7.91640625e+02,-5.62500000e-01,9.92187500e-01,,-2.09392000e-06,-1.10575413e-04
-2.09232000e-06,-1.00343750e+01,7.90781250e+02,-8.90625000e-01,8.43750000e-01,,-2.09232000e-06,-1.11495079e-04
-2.09072000e-06,-1.01281250e+01,7.91796875e+02,-8.43750000e-01,8.67187500e-01,,-2.09072000e-06,-1.12592970e-04
-2.08912000e-06,-1.00656250e+01,7.92812500e+02,-7.34375000e-01,6.79687500e-01,,-2.08912000e-06,-1.13593211e-04
-2.08752000e-06,-1.00109375e+01,7.94062500e+02,-1.25000000e+00,8.28125000e-01,,-2.08752000e-06,-1.14853050e-04
-2.08592000e-06,-1.00375000e+01,7.90390625e+02,-1.20312500e+00,1.40625000e+00,,-2.08592000e-06,-1.16407864e-04
-2.08432000e-06,-1.00656250e+01,7.91484375e+02,-8.51562500e-01,1.24218750e+00,,-2.08432000e-06,-1.17707816e-04
-2.08272000e-06,-9.99062500e+00,7.91953125e+02,-9.68750000e-01,3.98437500e-01,,-2.08272000e-06,-1.18860778e-04
-2.08112000e-06,-9.99687500e+00,7.94921875e+02,-6.79687500e-01,1.10156250e+00,,-2.08112000e-06,-1.19906777e-04
-2.07952000e-06,-1.01312500e+01,7.92656250e+02,-9.53125000e-01,3.12500000e-01,,-2.07952000e-06,-1.20943419e-04
-2.07792000e-06,-1.00000000e+01,7.94375000e+02,-9.92187500e-01,6.48437500e-01,,-2.07792000e-06,-1.22178360e-04
-2.07632000e-06,-1.00343750e+01,7.90625000e+02,-8.35937500e-01,1.02343750e+00,,-2.07632000e-06,-1.23337624e-04
-2.07472000e-06,-1.01093750e+01,7.91484375e+02,-9.14062500e-01,6.32812500e-01,,-2.07472000e-06,-1.24445127e-04
-2.07312000e-06,-1.00625000e+01,7.90781250e+02,-5.00000000e-01,5.15625000e-01,,-2.07312000e-06,-1.25340215e-04
-2.07152000e-06,-1.00546875e+01,7.85859375e+02,-9.60937500e-01,7.34375000e-01,,-2.07152000e-06,-1.26260653e-04
-2.06992000e-06,-1.00750000e+01,7.88359375e+02,-5.78125000e-01,7.81250000e-01,,-2.06992000e-06,-1.27229403e-04
-2.06832000e-06,-1.00890625e+01,7.88671875e+02,-6.32812500e-01,6.25000000e-01,,-2.06832000e-06,-1.27993291e-04
-2.06672000e-06,-1.00578125e+01,7.91484375e+02,-1.10937500e+00,1.07812500e+00,,-2.06672000e-06,-1.29095002e-04
-2.06512000e-06,-1.01328125e+01,7.91796875e+02,-9.45312500e-01,1.00781250e+00,,-2.06512000e-06,-1.30396234e-04
-2.06352000e-06,-1.01687500e+01,7.92421875e+02,-8.59375000e-01,8.90625000e-01,,-2.06352000e-06,-1.31539826e-04
-2.06192000e-06,-1.00656250e+01,7.92578125e+02,-1.18750000e+00,2.18750000e-01,,-2.06192000e-06,-1.32837566e-04
-2.06032000e-06,-1.01140625e+01,7.95703125e+02,-7.65625000e-01,1.01562500e+00,,-2.06032000e-06,-1.34077884e-04
