Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.18912000e-06,-1.01203125e+01,1.19281250e+03,-5.07812500e-01,9.06250000e-01,,-2.18912000e-06,-3.68535220e-05
-2.18752000e-06,-1.01375000e+01,1.19140625e+03,-2.26562500e-01,8.12500000e-01,,-2.18752000e-06,-3.75540440e-05
-2.18592000e-06,-1.00843750e+01,1.19273438e+03,-7.03125000e-01,1.13281250e+00,,-2.18592000e-06,-3.84408995e-05
-2.18432000e-06,-1.01296875e+01,1.18976562e+03,-6.56250000e-01,1.03125000e+00,,-2.18432000e-06,-3.97364383e-05
-2.18272000e-06,-1.00390625e+01,1.18812500e+03,-7.73437500e-01,4.37500000e-01,,-2.18272000e-06,-4.10962166e-05
-2.18112000e-06,-1.01390625e+01,1.19304688e+03,-4.76562500e-01,1.03906250e+00,,-2.18112000e-06,-4.22862176e-05
-2.17952000e-06,-1.00906250e+01,1.18976562e+03,-9.76562500e-01,1.19531250e+00,,-2.17952000e-06,-4.36705704e-05
-2.17792000e-06,-1.01312500e+01,1.18882812e+03,-4.29687500e-01,1.10937500e+00,,-2.17792000e-06,-4.50087355e-05
-2.17632000e-06,-1.00218750e+01,1.18953125e+03,-5.39062500e-01,1.07812500e+00,,-2.17632000e-06,-4.59303810e-05
-2.17472000e-06,-1.01531250e+01,1.18843750e+03,-6.09375000e-01,1.09375000e+00,,-2.17472000e-06,-4.70227315e-05
